Everything has changed.	semuanya telah berubah
We don't need that.	kami tidak membutuhkan itu
They weren't even dead yet.	mereka bahkan belum mati
After the first woman, there were one or two more.	setelah wanita pertama ada satu atau dua lagi
He walks away.	dia berjalan pergi
Then he spoke.	kemudian dia berbicara
And we've seen that.	dan kami telah melihat itu
Not possible until you see how he lives.	tidak mungkin sampai anda melihat bagaimana dia hidup
It's never bad to die.	tidak pernah buruk untuk mati
Part of him didn't really want to do this.	sebagian dari dirinya tidak benarbenar ingin melakukan ini
It's hard to say which is better.	sulit untuk mengatakan mana yang lebih baik
You know what it's like.	anda tahu seperti apa itu
In more ways than one.	dalam lebih dari satu cara
We see it differently.	kita melihatnya secara berbeda
They have to be there.	mereka harus ada di sana
We have to get out of this place, and immediately.	kita harus keluar dari tempat ini dan segera
But there is a reason for that.	tapi ada alasan untuk itu
There are a few of those.	ada beberapa dari itu
This will change.	ini akan berubah
It really is the best of both worlds.	ini benarbenar yang terbaik dari kedua dunia
And from them.	dan dari mereka
But then everything changed.	tapi kemudian semuanya berubah
However, this time there was a problem.	namun kali ini ada masalah
But he was telling the truth.	tapi dia mengatakan yang sebenarnya
Easy, it should be.	mudah seharusnya
We are here together.	kami di sini bersama
And of course he was right.	dan tentu saja dia benar
I will talk about the latter.	saya akan berbicara tentang yang terakhir ini
There's something wrong with all of this, and .	ada yang salah dengan semua ini dan
He had looked out for himself, first.	dia telah melihat keluar untuk dirinya sendiri pertama
A big.	sebuah besar
This will take work.	ini akan membutuhkan pekerjaan
Really hard too.	benarbenar keras juga
However, it gets better every day.	namun itu menjadi lebih baik setiap hari
It's really not a problem in front of you.	itu benarbenar bukan masalah di depan anda
Of course you do.	tentu anda melakukannya
Do not like that.	jangan seperti itu
It was never so clear to me.	itu tidak pernah begitu jelas bagi saya
Most of the time, they say nothing.	sebagian besar waktu mereka tidak mengatakan apaapa
And everyone did their part.	dan semua orang melakukan bagian mereka
I can't see one thing.	aku tidak bisa melihat satu hal
I thought you would do it for the job.	saya pikir anda akan melakukannya untuk pekerjaan itu
Not looking forward.	tidak melihat ke depan
This is probably the best part.	ini mungkin bagian yang terbaik
But it requires something.	tapi itu membutuhkan sesuatu
Someone, something else is here.	seseorang sesuatu yang lain ada di sini
The question actually says that.	pertanyaan itu sebenarnya mengatakan itu
He was happy to be there.	dia senang berada di sana
They can't do this.	mereka tidak bisa melakukan ini
Then it came to him.	kemudian itu datang padanya
In fact, he wasn't happy at all.	sebenarnya dia tidak senang sama sekali
How people will know, they don't know.	bagaimana orang akan tahu mereka tidak tahu
I will need them soon.	saya akan membutuhkan mereka segera
It's about believing in yourself.	ini tentang percaya pada diri sendiri
Only now did he do it even harder.	hanya sekarang dia melakukannya lebih keras
I will not!.	saya tidak akan
Just looking ahead.	hanya melihat ke depan
Actually, it scared me.	sebenarnya itu membuatku takut
Hoping times will get better.	berharap waktu akan menjadi lebih baik
And they are always happy to see me.	dan mereka selalu senang melihat saya
And it was like that for a long time.	dan itu seperti itu untuk waktu yang lama
I now have one.	saya sekarang punya satu
There is nothing more to them actually.	tidak ada yang lebih bagi mereka sebenarnya
That we don't feel that way anymore.	bahwa kita tidak merasa seperti itu lagi
You talk yourself out of it.	anda berbicara sendiri keluar dari itu
I don't want to come back tonight.	saya tidak ingin kembali malam ini
We don't have much.	kami tidak memiliki banyak hal
And it will only take one.	dan itu hanya akan membutuhkan satu
I live, in bed.	aku tinggal di tempat tidur
It's also not very interesting.	ini juga tidak terlalu menarik
You just have to really do it well.	anda hanya harus benarbenar melakukannya dengan baik
And it works really fast.	dan itu bekerja dengan sangat cepat
Not happy either.	tidak senang juga
We don't need much.	kami tidak membutuhkan banyak
More to come.	lebih akan datang
You've never been there.	anda belum pernah ke sana
I think it's my time.	saya pikir itu waktu saya
After a while, it did nothing.	setelah cukup lama itu tidak melakukan apaapa
Or tonight.	atau malam ini
We are all scared.	kami semua takut
He was the one who couldn't see it.	dia adalah orang yang tidak bisa melihatnya
We can do it now.	kita bisa melakukannya sekarang
You have to look down.	anda harus melihat ke bawah
Only one thing to do.	hanya satu hal yang harus dilakukan
Now we will come back again.	sekarang kita akan kembali lagi
First, there are people like you.	pertama ada orang seperti anda
From saying yes.	dari mengatakan ya
I live with those people.	saya tinggal bersama orangorang itu
You are too small.	anda terlalu kecil
He is very confident.	dia sangat percaya diri
Still, he made it.	tetap saja dia berhasil
I've seen one.	saya sudah melihat satu
But he couldn't stop, and he couldn't go back.	tapi dia tidak bisa berhenti dan dia tidak bisa kembali
I stay at home all day.	saya tinggal di rumah sepanjang hari
This is the current problem.	ini adalah masalah saat ini
He has done very well.	dia telah melakukannya dengan sangat baik
He might know something, that's all.	dia mungkin tahu sesuatu itu saja
We should stay here.	kita seharusnya tinggal di sini
You know, that's not who he is at all.	anda tahu itu sama sekali bukan siapa dia
But it happens every day.	tapi itu terjadi setiap hari
For obvious reasons.	untuk alasan yang jelas
He tried but couldn't.	dia mencoba tapi tidak bisa
And it shows from how the people here.	dan itu terlihat dari bagaimana orangorang di sini
There is no fear in him.	tidak ada rasa takut dalam dirinya
Many of me.	banyak dari saya
I've obviously done it again.	saya jelas sudah melakukannya lagi
They feel .	mereka merasa
It knows it.	itu tahu itu
I believe you just did.	saya percaya anda hanya melakukannya
But that might not even be true.	tapi itu bahkan mungkin tidak benar
They must have a say in this.	mereka harus memiliki suara dalam hal ini
If not, it means something better will happen!	jika tidak itu berarti sesuatu yang lebih baik akan terjadi
Many have tried.	banyak yang telah mencoba
This is for me.	ini untuk saya
He couldn't hear.	dia tidak bisa mendengar
They have to do something about it.	mereka harus melakukan sesuatu tentang itu
We have many others.	kami punya banyak orang lain
We all saw it happen.	kita semua melihat itu terjadi
And of course.	dan tentu saja
But not to me.	tapi belum ke saya
I'm new to it.	saya baru dalam hal itu
Come and see me.	datang dan lihat aku
This is good and bad.	ini baik dan buruk
The second is money.	yang kedua adalah uang
He doesn't cooperate.	dia tidak bekerja sama
That's what we like.	itulah yang kami suka
He knew what they sounded like.	dia tahu seperti apa suara mereka
That's about saying it all.	itu tentang mengatakan itu semua
In some ways, he still is.	dalam beberapa hal dia masih
And that means.	dan itu berarti
I like to talk.	saya suka berbicara
Big enough.	besar sudah cukup
It was an amazing time.	itu adalah waktu yang luar biasa
I don't think you should.	saya tidak berpikir anda harus
Nothing will be done.	tidak ada yang akan dilakukan
They are quite good.	mereka cukup baik
It's working now.	ini bekerja sekarang
That's not true, nothing happened.	itu tidak benar tidak ada yang terjadi
I shouldn't stay too long.	saya tidak harus tinggal terlalu lama
It's unlikely to change anywhere or anytime soon.	tidak mungkin berubah di mana saja atau dalam waktu dekat
I wasn't sure about anything at the time.	saya tidak yakin tentang apa pun pada saat itu
And things and things and more things.	dan halhal dan halhal dan lebih banyak hal
It's not too bad.	ini tidak terlalu buruk
And now you do too.	dan sekarang anda juga melakukannya
Obviously it couldn't be anyone else.	jelas itu tidak mungkin orang lain
It was great to hear from him.	itu bagus untuk mendengar dari dia
I feel a little better in myself.	saya merasa sedikit lebih baik dalam diri saya
You can see who is going where.	anda bisa melihat siapa yang pergi ke mana
They said it would make it better.	mereka mengatakan itu akan membuatnya lebih baik
But you can see them now.	tapi anda bisa melihat mereka sekarang
But you seem to be saying something different.	tapi sepertinya kamu mengatakan sesuatu yang berbeda
We're just people.	kami hanya orangorang
I have to go to sleep.	aku harus pergi tidur
With an ordinary house.	dengan rumah biasa
Someone wants to do that.	seseorang ingin melakukan itu
However, here it is.	namun ini dia
Also no time.	juga tidak ada waktu
But there is another part to this.	tapi ada bagian lain ini
If it succeed.	jika berhasil
I find it interesting.	saya merasa menarik
They won't see him scared, no matter what.	mereka tidak akan melihatnya takut apa pun yang terjadi
It goes further than this.	ini lebih jauh dari ini
But nothing else.	tapi tidak ada yang lain
This year is actually not much different.	tahun ini sebenarnya tidak jauh berbeda
There were so many things he still wanted to do.	begitu banyak hal yang masih ingin dia lakukan
You can't even.	anda bahkan tidak bisa
You can't take that from me.	anda tidak bisa mengambil itu dari saya
Better if you go.	lebih baik jika anda pergi
I feel very confident.	saya merasa sangat percaya diri
It can't be good.	itu tidak bisa menjadi baik
Maybe he shouldn't have said that.	mungkin dia tidak seharusnya mengatakan itu
There is more to be done.	masih ada lagi yang harus dilakukan
They're very happy.	mereka sangat senang
This in itself is bad enough.	ini sendiri sudah cukup buruk
I got better but then the pain came back.	saya menjadi lebih baik tetapi kemudian rasa sakit itu kembali
He's far from the best, and it shows.	dia jauh dari yang terbaik dan itu terlihat
They don't have to do it for anyone else.	mereka tidak perlu melakukannya untuk orang lain
There's nothing you can do about it.	tidak ada yang dapat anda lakukan tentang itu
He was there, but not there.	dia ada di sana tapi tidak di sana
He worked them to death.	dia bekerja mereka sampai mati
You can't stay wherever you are.	anda tidak bisa tinggal di mana pun anda berada
Other women have.	wanita lain punya
They have returned to their first love.	mereka telah kembali ke cinta pertama mereka
Not all men, but men do.	tidak semua pria tetapi pria melakukannya
Most of the time they don't.	sebagian besar waktu mereka tidak
But there is another way.	namun ada cara lain
I have to die.	aku harus mati
He's one of the good guys.	dia salah satu orang baik
Don't see how he can't.	jangan lihat bagaimana dia tidak bisa
There's something about them.	ada sesuatu tentang mereka
He keeps coming back there.	dia terus datang kembali ke sana
So again, maybe it won't happen to anyone else.	jadi sekali lagi mungkin itu tidak akan terjadi pada orang lain
That's not good, not good at all.	itu tidak baik sama sekali tidak baik
You work away from home.	anda bekerja jauh dari rumah
He is a wonderful child.	dia adalah anak yang luar biasa
Someone made this happen.	seseorang membuat ini terjadi
But you still have to do it.	tapi anda tetap harus melakukannya
I don't like that at all.	saya tidak suka itu sama sekali
It doesn't have to happen this way.	itu tidak harus terjadi dengan cara ini
No one even knows.	bahkan tidak ada yang tahu
When they stopped, he stopped.	ketika mereka berhenti dia berhenti
He's near at last.	dia sudah dekat akhirnya
I'm down here now.	aku di bawah sini sekarang
They are also not clear.	mereka juga tidak jelas
He's too sick.	dia terlalu sakit
This one is good.	yang ini bagus
Not good .	tidak baik
It is not alive.	hal ini tidak hidup
And they found nothing.	dan mereka tidak menemukan apaapa
You are better off without him.	kamu lebih baik tanpa dia
The guys didn't think anyone would get there in time.	orangorang itu tidak berpikir siapa pun akan sampai di sana tepat waktu
Of course it worked.	tentu saja itu berhasil
No one should know about it.	seharusnya tidak ada yang tahu tentang itu
You hear those people so if you go there.	anda mendengar orangorang itu jadi jika anda pergi ke sana
They don't have to either.	mereka juga tidak harus melakukannya
But that's not what's important.	tapi bukan itu yang penting
They won't find anything.	mereka tidak akan menemukan apa pun
I feel like he can't stop.	aku merasa dia tidak bisa berhenti
For some it certainly will.	untuk beberapa itu pasti akan
You may not be able to do it now.	anda mungkin tidak bisa melakukannya sekarang
However, some things are difficult.	namun beberapa hal sulit
It's very strong, maybe too strong.	ini sangat kuat mungkin terlalu kuat
That's okay too.	tidak apaapa juga
But this is not what we see.	namun ini bukan yang kita lihat
He knew he couldn't talk to them.	dia tahu dia tidak bisa berbicara dengan mereka
Seems pretty fun here.	tampaknya cukup menyenangkan di sini
We have no problems.	kami tidak memiliki masalah
I thought to myself, that's all.	saya berpikir untuk diri saya sendiri itu saja
These are all good things.	ini semua adalah hal yang bagus
I'm sure it's true.	aku yakin itu benar
This is really the last question.	ini benarbenar pertanyaan terakhir
I found a lot of them.	saya menemukan banyak dari mereka
We have stopped again.	kami telah berhenti lagi
Time, never seems to be enough.	waktu sepertinya tidak pernah cukup
And they love to have dinner every night.	dan mereka suka makan malam setiap malam
But now it has become clear.	tapi sekarang sudah menjadi jelas
You can never stop at just one.	anda tidak pernah bisa berhenti hanya pada satu
I'm not much help.	aku tidak banyak membantu
I want time with my family.	saya ingin waktu dengan keluarga saya
It's never been like this for me before.	tidak pernah seperti ini bagi saya sebelumnya
It came for a long time.	itu datang untuk waktu yang lama
No one looks like an old man.	tidak ada orang yang tampak seperti orang tua
I want to believe in him.	aku ingin yakin padanya
You come to me.	kamu datang ke saya
I have to be real here.	aku harus nyata di sini
Been there, done that.	pernah ke sana melakukan itu
Don't let him come back.	jangan biarkan dia kembali
My parents will not believe my life.	orang tua saya tidak akan percaya hidup saya
But it happened.	tapi itu terjadi
We all take different paths.	kita semua mengambil jalan yang berbeda
It would never have happened before.	itu tidak akan pernah terjadi sebelumnya
For these people.	untuk orangorang ini
No problem for now.	tidak masalah untuk saat ini
It can happen when you live in your own home.	itu bisa terjadi ketika anda tinggal di rumah anda sendiri
So many people should know what happened.	begitu banyak orang harus tahu apa yang telah terjadi
And we don't think we can.	dan kami tidak berpikir kami bisa
Then nothing happens, or nothing seems to happen.	kemudian tidak ada yang terjadi atau sepertinya tidak ada yang terjadi
I never thought it was even possible.	saya tidak pernah berpikir itu bahkan mungkin
He didn't know how to say this.	dia tidak tahu bagaimana mengatakan ini
What is happening right now.	apa yang terjadi sekarang
You know, here, with me.	anda tahu di sini dengan saya
He found little, almost nothing.	dia menemukan sedikit hampir tidak ada
I'm glad it was a one time thing.	saya senang itu adalah satu kali hal
He's quite attractive.	dia cukup menarik
But this seems all or nothing.	tapi ini tampaknya semua atau tidak sama sekali
Will do it quickly.	akan melakukannya dengan cepat
I know this a lot.	aku tahu ini banyak
But there is something else.	tapi ada sesuatu yang lain
I want to return to my own home.	saya ingin kembali ke rumah saya sendiri
My parents like it too.	orang tua saya juga suka
He really looks good.	dia benarbenar terlihat baik
I should have died.	aku seharusnya mati
It didn't matter then.	itu tidak masalah saat itu
But this is not and should not be the case.	tapi ini tidak dan seharusnya tidak terjadi
Nobody does this.	tidak ada yang melakukan ini
Many things can happen.	banyak hal yang bisa terjadi
He can stand alone on things.	dia bisa berdiri sendiri pada halhal
Stop being righteous.	berhenti menjadi orang benar
It does not know how.	itu tidak tahu bagaimana
He didn't see such a thing exist.	dia tidak melihat hal seperti itu ada
I'm afraid, if you have to know the truth.	saya takut jika anda harus tahu yang sebenarnya
Of course, things could be worse.	tentu saja halhal bisa lebih buruk
This is an important one.	ini adalah salah satu yang penting
Actually, it's worse.	sebenarnya itu lebih buruk
But he's still alive.	tapi dia tetap hidup
There's no one else out there.	tidak ada orang lain di luar sana
I like them almost the same.	saya suka mereka hampir sama
People need to see things to believe in them.	orang perlu melihat halhal untuk percaya pada mereka
It's like a different world down there.	ini seperti dunia yang berbeda di bawah sana
We are one now, it seems.	kami adalah satu sekarang sepertinya begitu
There is a strong reason for this.	ada alasan kuat untuk ini
I know that he can do better than that.	saya tahu bahwa dia bisa melakukan lebih baik dari itu
Now, we're not so sure.	sekarang kami tidak begitu yakin
I thought you might want to take a look.	saya pikir anda mungkin ingin melihatnya
I will go now.	aku akan pergi sekarang
You are right on one point.	anda benar dalam satu hal
First woman.	wanita pertama
These are just a few, however.	ini hanya beberapa namun
This job is very easy.	pekerjaan ini sangat mudah
Just really, really awesome stuff.	hanya benarbenar halhal yang benarbenar luar biasa
That would be true.	itu akan benar
I don't want him to come back home.	aku tidak ingin dia kembali ke rumah
There was something very different about things this time around.	ada sesuatu yang sangat berbeda tentang halhal kali ini
I just don't.	aku hanya tidak
I know what it is.	aku tahu apa itu
Everything looks the same as before.	semuanya tampak sama seperti sebelumnya
He wished he hadn't.	dia berharap sekali dia tidak melakukannya
Look what's going on.	lihat apa yang sedang terjadi
He couldn't say he didn't know.	dia tidak bisa mengatakan dia tidak tahu
With a man who is now dead.	dengan pria yang sekarang sudah mati
We start with this first one.	kita mulai dengan yang pertama ini
I'm glad it was you.	aku senang itu kamu
Actually, he wasn't too sure.	sebenarnya dia tidak terlalu yakin
The world exists.	dunia itu ada
I definitely know there isn't.	saya pasti tahu tidak ada
I hope he will come soon.	saya berharap dia akan segera datang
Or to anyone.	atau pada siapa pun
Many can be very strong.	banyak yang bisa sangat kuat
I don't need them to work.	saya tidak membutuhkan mereka untuk bekerja
He doesn't have any of that.	dia tidak memiliki semua itu
You know you do too.	anda tahu anda melakukannya juga
So he shouldn't stay here.	jadi dia seharusnya tidak tetap di sini
We started doing it in our house.	kami mulai melakukannya di rumah kami
It won't be easy for you.	tidak akan mudah bagi anda
I will do it right.	aku akan melakukannya dengan benar
If he comes to me, you do the same.	jika dia datang pada saya anda melakukan hal yang sama
He saw something else right then and there.	dia melihat sesuatu yang lain saat itu juga
Now maybe even on top.	sekarang bahkan mungkin di atas
I think you know that and so do we.	saya pikir anda tahu itu dan kami juga
Actually, it's probably the second thing.	sebenarnya itu mungkin hal kedua
Only slept one night and stayed in bed.	hanya tidur satu malam dan tetap di tempat tidur
We all have to feed our families.	kita semua harus memberi makan keluarga kita
Best place ever.	tempat terbaik yang pernah ada
And far fewer ever do.	dan jauh lebih sedikit yang pernah melakukannya
I had to work around the clock then.	saya harus bekerja sepanjang waktu saat itu
It's just that it's very strong.	hanya saja itu sangat kuat
However, we may never have a home again.	namun kita mungkin tidak akan pernah lagi memiliki rumah
That is the important thing.	itu adalah hal yang penting
Those people won't say anything.	orangorang itu tidak akan mengatakan apaapa
That's with these two.	itu dengan dua orang ini
Or someone like him.	atau seseorang seperti dia
Nobody feeds them.	tidak ada yang memberi mereka makan
But that's all he is.	tapi itu saja dia
There was a woman who might know more.	ada seorang wanita yang mungkin tahu lebih banyak
I need to do this myself.	saya perlu melakukan ini sendiri
Nothing scares him anymore.	tidak ada yang membuatnya takut lagi
He couldn't get it.	dia tidak bisa mendapatkan itu
He already knew enough about it.	dia sudah cukup tahu tentang itu
Just like back then.	sama seperti saat itu
Nothing at all, actually.	tidak ada sama sekali sebenarnya
And we might as well come there now.	dan kita mungkin juga datang ke sana sekarang
It always worked out well.	itu selalu berhasil dengan baik
So what we have to do is what they do.	jadi apa yang harus kita lakukan adalah apa yang mereka lakukan
He didn't say anything either.	dia juga tidak mengatakan apaapa
But expecting someone to die was completely wrong.	tapi berharap seseorang akan mati benarbenar salah
It's really home now.	ini benarbenar rumah sekarang
That's one of the interesting things about him.	itu salah satu hal yang menarik tentang dia
You take this.	anda mengambil ini
It doesn't work right now, of course.	itu tidak bekerja saat ini tentu saja
It's all very fast.	itu semua sangat cepat
We can have more children.	kita bisa memiliki lebih banyak anak
I can't say exactly.	saya tidak bisa mengatakan dengan tepat
They have us.	mereka punya kita
Nothing happened at all.	tidak ada yang terjadi sama sekali
Or maybe he's done it by now.	atau mungkin dia sudah melakukannya sekarang
You won't find it either, will you.	anda juga tidak akan menemukan bukan
He just didn't believe it.	dia tidak percaya begitu saja
We don't want to lose ourselves.	kami tidak ingin kehilangan diri kami sendiri
They like it.	mereka menyukai itu
Shouldn't have to do that.	seharusnya tidak perlu melakukan itu
You won't have your way here.	anda tidak akan memiliki cara anda di sini
They are old.	mereka sudah tua
Fast as you can.	cepat yang anda bisa
Some of us are dead.	beberapa dari kita sudah mati
There is only one.	hanya ada satu
He was afraid he knew too much.	dia takut dia tahu terlalu banyak
That also doesn't work.	itu juga tidak bekerja
This is our lot.	ini adalah banyak kami
That won't happen today.	itu tidak akan terjadi hari ini
You don't need them.	anda tidak membutuhkan mereka
The usual way doesn't work.	cara biasa tidak bekerja
I don't believe that either.	saya juga tidak percaya itu
Its really hard to get in and out.	yang benarbenar sulit untuk masuk dan keluar
He wanted no one to lose their job.	dia ingin tidak ada orang yang kehilangan pekerjaan
Almost, they made it.	hampir mereka berhasil
He felt small and unimportant.	dia merasa kecil dan tidak penting
And we're glad he did.	dan kami senang dia melakukannya
He didn't sleep much at all.	dia tidak banyak tidur sama sekali
I'm pulling now.	aku menarik sekarang
I like working alone.	saya suka bekerja sendiri
It hurts, inside and out.	itu sakit luar dan dalam
Because he only talks about himself.	karena dia hanya berbicara tentang dirinya sendiri
But, they came.	tapi mereka datang
Get out of it.	keluar dari itu
You will come when we.	anda akan datang ketika kita
I saw that with him.	saya melihat itu dengan dia
What part of the job.	apa bagian dari pekerjaan
It's the little things, people.	ini halhal kecil orangorang
It will still be good.	ini akan tetap bagus
That's clearly the case here.	itu jelas terjadi di sini
You are right.	anda benar
There are two interesting things.	ada dua hal yang menarik
But then he started.	tapi kemudian dia mulai
That's what they want you to do.	itulah yang mereka ingin anda lakukan
You don't know who he is.	anda tidak tahu siapa dia
It was a man's voice.	itu suara pria
Without it it should work.	tanpa itu seharusnya berhasil
He's out there because he wants to.	dia ada di luar sana karena dia ingin
But maybe you can.	tapi mungkin anda bisa
It couldn't have been any different for you.	ini tidak mungkin berbeda untuk anda
He didn't need to know more than that.	dia tidak perlu tahu lebih dari itu
I need to know what happened.	aku perlu tahu apa yang terjadi
Much better for them.	jauh lebih baik bagi mereka
Maybe that's not the right thing to do.	mungkin itu bukan hal yang benar untuk dilakukan
That's good of him.	itu bagus dari dia
You saw that today.	anda melihat itu hari ini
I'm not too sure.	saya tidak terlalu yakin
You live in their house.	anda tinggal di rumah mereka
They can't seem to live together.	mereka sepertinya tidak bisa hidup bersama
That's wrong in many ways.	itu salah dalam banyak hal
There's so much that can go wrong.	ada begitu banyak yang bisa salah
He lived alone, always was.	dia hidup sendiri selalu begitu
I feel so much better having them there.	saya merasa jauh lebih baik memiliki mereka di sana
You are all in or you are all out.	anda semua masuk atau anda semua keluar
I think it could go well.	saya pikir itu bisa berjalan baik
And they got it.	dan mereka mendapatkan itu
Then the front.	kemudian bagian depan
But you know what you're doing.	tapi anda tahu apa yang anda lakukan
Or have several.	atau memiliki beberapa
That's what they do.	itulah yang mereka lakukan
He'd better be there.	dia lebih baik berada di sana
We know they are close.	kami tahu mereka dekat
They knew it was happening.	mereka tahu itu sedang terjadi
I just can't believe it.	aku hanya tidak bisa percaya
But you are wrong, you know.	tapi anda salah anda tahu
He hasn't worked.	dia belum bekerja
So we had to do something.	jadi kami harus melakukan sesuatu
But only for now.	tapi hanya untuk saat ini
He has helped.	dia telah membantu
That's just what's interesting.	itu hanya yang menarik
The house is still.	rumah itu masih
Today wasn't the day he could die.	hari ini bukan hari dia bisa mati
I never, not really.	saya tidak pernah tidak juga
But it's just a taste.	tapi itu hanya sebuah rasa
You are one of us.	anda salah satu dari kami
Far enough.	cukup jauh
In our own way, we all do it.	dengan cara kami sendiri kami semua melakukannya
They have done a great job in this case.	mereka telah melakukan pekerjaan yang baik dalam kasus ini
And this is an important one.	dan ini adalah salah satu yang penting
I'll know if you don't.	saya akan tahu jika anda tidak
I never saw it clearly.	aku tidak pernah melihatnya dengan jelas
It's not fun, but it will be.	itu tidak menyenangkan tapi akan seperti itu
Even if you are just curious about it.	bahkan jika anda hanya ingin tahu tentang hal itu
So it's going to be like this.	jadi ini akan menjadi seperti ini
It was big but not extraordinary.	itu besar tapi tidak luar biasa
This happens in two ways.	ini terjadi dalam dua cara
This can happen probably in two ways.	ini bisa terjadi mungkin dalam dua cara
He knows a lot of things.	dia tahu banyak hal
Doing this yourself may not be possible.	melakukan ini sendiri mungkin tidak mungkin
Or maybe they are afraid.	atau mungkin mereka takut
He's very up to it.	dia sangat untuk itu
It's a pleasure to be with them.	sangat menyenangkan berada bersama mereka
I have found the problem for this problem.	saya telah menemukan masalah untuk masalah ini
They are very attractive.	mereka sangat menarik
And it should.	dan seharusnya
You're still here too.	anda masih di sini juga
There will be more of this soon.	akan segera ada lebih dari ini
This should get you far.	ini harus membuat anda jauh
I think he really should.	saya pikir dia benarbenar harus
This might get him in trouble.	ini mungkin membuatnya dalam masalah
You can't get anything for nothing.	anda tidak bisa mendapatkan sesuatu untuk apaapa
But many of them are sick.	tapi banyak dari mereka yang sakit
I may die, or you.	aku mungkin mati atau kamu
There's still a way.	masih ada jalan
There's no real reason.	tidak ada alasan sebenarnya
There are several others.	ada beberapa yang lain
The job is hard.	pekerjaan itu sulit
Not too far, at least.	tidak terlalu jauh setidaknya
They are very close now.	mereka sangat dekat sekarang
He doesn't know he's not me.	dia tidak tahu dia bukan aku
Everything is invisible.	semuanya tidak terlihat
There is some reasons.	ada beberapa alasan
At least, the one up front did.	setidaknya yang di depan melakukannya
For me also for them.	bagi saya juga bagi mereka
I've said too much, too much.	aku sudah mengatakan terlalu banyak terlalu banyak
For me it's all the same.	bagi saya semuanya sama saja
We will get everything on time.	kami akan mendapatkan semuanya tepat waktu
It's not something new.	itu bukan sesuatu yang baru
However, he didn't do that.	namun dia tidak melakukan itu
That woman .	wanita itu
I wouldn't know.	aku tidak akan tahu
You will love my house.	anda akan menyukai rumah saya
It has made me a better person.	itu telah membuat saya menjadi orang yang lebih baik
Several things are happening right now.	beberapa hal terjadi saat ini
The world would be a much better place.	dunia akan menjadi tempat yang jauh lebih baik
But we will be back.	tapi kami akan kembali
And right.	dan benar
But he doesn't know who he is now.	tapi dia tidak tahu siapa dia sekarang
Great for families.	bagus untuk keluarga
Everything is very easy.	semuanya sangat mudah
We were right.	kami benar
It makes you feel more alive.	itu membuat anda merasa lebih hidup
Impossible, because done right.	tidak mungkin karena dilakukan dengan benar
I only know them.	aku hanya tahu mereka
He thought it was a lot of fun.	dia pikir itu sangat menyenangkan
If you need to get out of there money.	jika anda perlu untuk keluar dari sana uang
This is the first day.	ini adalah hari pertama
I have made you a lot of money.	saya telah membuat anda banyak uang
Nothing has changed here.	tidak ada yang berubah di sini
But they will come back again, for a longer time.	tapi mereka akan kembali lagi untuk waktu yang lebih lama
Maybe you need a lot of both to succeed.	mungkin anda membutuhkan banyak dari keduanya untuk berhasil
Not on you.	tidak pada anda
Many important people.	banyak orang penting
But he knew this wasn't true.	tapi dia tahu ini tidak benar
He's dead now, actually.	dia sudah mati sekarang sebenarnya
At least, what it's all about for me.	setidaknya apa itu semua tentang bagi saya
In fact, you know this very well.	sebenarnya anda tahu ini dengan sangat baik
And times can change a lot.	dan waktu bisa banyak berubah
Nothing goes in and nothing goes out.	tidak ada yang masuk dan tidak ada yang keluar
I'm pretty sure of that.	saya cukup yakin akan hal itu
You'll never hear the end.	anda tidak akan pernah mendengar akhirnya
Nothing comes easy.	tidak ada yang datang dengan mudah
You will find your own path now.	anda akan menemukan jalan anda sendiri sekarang
Maybe it doesn't matter.	mungkin itu tidak masalah
And is working.	dan sedang bekerja
If that's the case, it's true.	jika itu terjadi itu benar
He's not really dead.	dia tidak benarbenar mati
He would be better off because of it.	dia akan lebih baik karena itu
He really wasn't sure about this.	dia benarbenar tidak yakin tentang ini
Not many people saw it.	tidak banyak orang yang melihatnya
I still can't believe it.	aku masih tidak percaya
I, not so much.	saya tidak begitu banyak
Something seemed to have come out of him.	sesuatu sepertinya telah keluar dari dirinya
They will come back, and they will come back again.	mereka akan kembali dan mereka akan kembali lagi
It is a matter of time.	ini adalah masalah waktu
You look like one.	anda terlihat seperti satu
Everything and anything.	semuanya dan apa saja
He started, and so did he.	dia mulai dan begitu juga dia
It will be more trying.	ini akan lebih mencoba
I've never done any of that.	saya tidak pernah melakukan semua itu
Little people were seen on the street below.	orangorang kecil terlihat di jalan di bawah
So for me, this isn't it.	jadi bagi saya ini bukan
I always live there.	saya selalu tinggal di sana
They are out of work.	mereka keluar dari pekerjaan
We never do that to each other.	kami tidak pernah melakukan itu satu sama lain
Amazing job as usual!.	pekerjaan luar biasa seperti biasa
It won't be easy but far from impossible.	itu tidak akan mudah tetapi jauh dari tidak mungkin
Here we will die.	di sini kami akan mati
I need to pull them back.	saya perlu menarik mereka kembali
They are the best of the best of the best.	mereka adalah yang terbaik dari yang terbaik dari yang terbaik
It's coming from the front.	itu datang dari depan
A few days, maybe.	beberapa hari mungkin
Money is good.	uang itu bagus
If he doesn't.	jika dia tidak melakukannya
And that seems to be enough.	dan itu sepertinya cukup
I don't have any.	saya tidak punya
So first you do that.	jadi pertama anda melakukan itu
When this happens, no one knows what to do.	ketika ini terjadi tidak ada yang tahu apa yang harus dilakukan
Or try.	atau mencoba
In fact, you can do it there.	bahkan anda bisa melakukannya di sana
I feel really bad, actually.	aku merasa sangat buruk sebenarnya
