There and then.	teo ary avy eo
I always see them, so they really work.	hitako foana izy ireo ka tena miasa
You are still according to the world.	mbola araka izao tontolo izao ianao
And they look at options.	ary mijery ny safidy izy ireo
It has to be done quickly, so you have to.	tsy maintsy atao haingana izany ka tsy maintsy ianao
Yes, but not completely.	eny fa tsy tanteraka
He was good to me.	tsara tamiko izy
Once upon a time for me.	indray mandeha ho ahy
But it is also not an option.	tsy safidy koa anefa izany
It's not just that.	tsy izany fotsiny no izy
They did not.	tsy nanao izany ny azy ireo
It’s been a long time for me, too.	efa ela ihany koa no ahy
But, no, he was right.	saingy tsia marina ny azy
Not a good fight.	tsy tsara ady
Yes, even the one.	eny na dia ilay iray aza
The food was plentiful.	tena be ny sakafo tao
No, even better than that.	tsia na dia tsara kokoa noho izany aza
Everyone is happy.	faly ny rehetra
He needs the conversation.	mila ny resaka izy
It only works once.	indray mandeha ihany no miasa
It must mean something to you.	tsy maintsy misy dikany aminao ihany izany
They are too fast.	haingana loatra izy ireo
I got another one.	nahazo iray hafa aho
It’s a nonsense story.	tantara tsy misy dikany izany
Not if they deserve it, that is.	tsy raha mendrika izany izy ireo izany hoe
And so it is with everything else.	ary toy izany koa aminny zavatra hafa rehetra
This is not the best day for me.	tsy io no andro tsara indrindra ho ahy
This could be a false product.	mety ho vokatra diso izany
Fun, actually.	mahafinaritra raha ny marina
We must do that.	tokony hanao izany isika
And saw you.	ary nahita anao
This one is a bit cheap.	ity iray ity dia somary mora
In fact, none of us really did that either.	raha ny marina tsy nisy tena nanao izany koa izahay
And we can’t be everywhere at the same time.	ary tsy afaka ny ho eny rehetra eny aminny fotoana iray isika
Not bad, though.	tsy ratsy fa
We see the good and the bad.	mahita ny tsara sy ny ratsy isika aminizany
It’s hard to find a good woman.	sarotra ny mahita vehivavy tsara
But it’s fast.	saingy haingana izany
That's a long way.	lavitra be izany
Went around.	nandeha teny aminny manodidina
And all these people are doing things.	ary ireo olona rehetra ireo dia manao zavatra
It’s harder than it might seem.	sarotra kokoa noho izay mety ho hita
No one had it.	tsy nisy nanana izany
I kind of like it.	somary tiako izany
Beautiful place.	toerana tsara tarehy
But nothing came to me.	tsy nisy na inona na inona tonga tamiko anefa
I just don’t like it.	tsy tiako fotsiny izany
Over time, they will become more common.	rehefa mandeha ny fotoana dia ho hita aminny ankapobeny izy ireo
But there are others.	misy hafa koa anefa
Next time, take a look first.	aminny manaraka jereo kely aloha
The pictures too.	ny sary koa
It shouldn’t be there right now.	tsy tokony ho ao izany aminizao fotoana izao
It will still be there.	mbola ho hita eo
Too big.	lehibe loatra
And that is exactly what was there.	ary izany indrindra no tao
There is no choice whatsoever.	tsy misy safidy na inona na inona
Everything else is more complicated.	ny hafa rehetra dia sarotra kokoa
Only two people disagree.	olona roa ihany no tsy mitovy hevitra
It's still far away, but it's a little closer now.	mbola lavitra fa somary akaiky kokoa izao
As before, they didn’t go.	toy ny teo tsy nandeha izy ireo
But I have a question.	manana fanontaniana anefa aho
For them, we are very simple.	ho azy ireo dia tena tsotra isika
I didn't see it before.	tsy hitako aloha izany
The method consists of two parts.	ny fomba dia misy ampahany roa
He was right, and he knew it.	marina ny azy ary fantany izany
He was almost confused.	saika very hevitra izy
And here’s the idea.	ary izao ny hevitra
It's too far away.	lavitra loatra izany
But we didn't go there.	tsy nandeha tany anefa izahay
And this one.	ary ity iray ity
Beautiful, he thought not there.	tsara tarehy hoy izy nieritreritra tsy teo
It may have made sense in the past.	mety ho nisy dikany izany taloha
But many questions remained.	mbola maro anefa ny fanontaniana nijanona
It was as if he knew.	toy ny hoe fantany
It started well.	nanomboka tsara izany
They are fast.	haingana izy ireo
Like where he was.	toy ny toerana nisy azy
Yes, he loves her.	eny tiany izy
It doesn’t do anything at all.	tsy manao na inona na inona mihitsy
Not all women need me.	tsy mila ahy ny vehivavy rehetra
It’s fun to watch.	mahafinaritra ny mijery azy
And no, it's not.	ary tsia tsy izany
I think that's too true.	heveriko fa marina loatra izany
And between me and you, the faster the better.	ary eo amiko sy ianao ny haingana no tsara kokoa
Which is impossible.	izay tsy azo atao
What matters is the path.	ny zavadehibe dia ny lalana
It was inside.	tao anatiny izany
They all watched it.	nijery anio izy rehetra
A person who is supreme in himself.	olona iray izay ambony indrindra ny tenany
They are for us and for us alone.	ho antsika sy ho antsika irery izy ireo
He has to see it.	tsy maintsy mahita azy izy
Sounds good to me.	toa mety tsara amiko
Nice time.	ny fotoana mahafinaritra
But he had a good idea about the game.	nanana hevitra tsara momba ny lalao anefa izy
Which may be good for some.	izay mety ho tsara ho anny sasany
It’s a lot of steps.	dingana maro izany
Maybe one or two, nothing important.	angamba iray na roa tsy misy zavadehibe
There are others.	mbola misy hafa
Then again, he doesn’t need it.	avy eo indray dia tsy mila izany izy
Thank you for that work.	misaotra anao taminizany asa izany
He was too confused.	very hevitra loatra izy
And it’s not hard.	ary tsy sarotra izany
Then the idea came to him.	dia tonga taminy ilay hevitra
Even if you don’t.	na dia tsy manao izany aza ianao
Not like.	tsy toy ny
And he was very happy.	ary tena faly izy
It was small, simple, and meaningless.	kely sy tsotra ary tsy nisy dikany ilay izy
I can't do anything about it anymore.	tsy afaka manao na inona na inona intsony aho momba izany
I hope yours is better.	manantena aho fa tsara kokoa ny anao
This will do it.	izany dia hanao izany
Or not so much.	na tsy dia mazava loatra
They do.	manao izany izy ireo
We had that idea.	nanana izany hevitra izany izahay
But it could be worse than usual.	saingy mety ho ratsy kokoa noho ny mahazatra
Like there is no end.	toy ny tsy misy farany
And for everyone.	ary ho anny olona rehetra
Not one or two, each.	tsy iray na roa tsirairay avy
This goes next.	io no lasa manaraka
The two questions are not the same.	tsy mitovy ny fanontaniana roa
And this is the result.	ary ity no vokatra
There are many options.	misy safidy maro
But it still works.	saingy mbola mandeha ihany izany
Everyone about me.	ny olona rehetra momba ahy
I prefer the beautiful pictures.	tiako kokoa ny sary tsara tarehy
Thanks for the idea.	misaotra aminny hevitra
You should be happy too.	tokony ho faly koa ianao
It can’t be money.	tsy mety ho vola izany
But she is not just beautiful.	tsy hoe tsara tarehy fotsiny anefa izy
Although difficult before, it seems impossible now.	na dia sarotra aza teo aloha dia toa tsy azo atao izany ankehitriny
Often the place is simply empty.	matetika ny toerana dia tsy misy tsotra izao
It’s great.	lehibe izy io
All games are available.	ny lalao rehetra misy
Already, hadn’t.	efa tsy nanana
But it never goes well.	saingy tsy mandeha tsara mihitsy izany
It hasn't arrived yet.	tsy mbola tonga
They seem to enjoy doing it.	toa mahafinaritra azy ireo ny manao izany
You’re a man, and you’re not wrong.	lehilahy ianao ary tsy diso
No, it wasn't before.	tsia tsy izany taloha izany
No, he didn't come.	tsia tsy tonga izy
And of course it’s a more complicated story.	ary mazava ho azy fa tantara sarotra kokoa izany
This is the day now.	izao no andro ankehitriny
For all of them.	ho azy rehetra
In general, it won’t matter.	aminny ankapobeny dia tsy ho zavadehibe izany
But that is not true of me.	tsy marina anefa izany amiko
It started there.	nanomboka teo
The problem is real.	tena misy ilay olana
You are even smaller than people.	mbola kely kokoa ianao aminny olona
I think he likes her.	heveriko fa tiany izy
They are .	izy ireo dia
A lot of women had it.	betsaka ny vehivavy nanana izany
You need to hurry.	mila haingana ianao
But he knew he would do it, sometimes.	saingy fantany fa hanao izany izy indraindray
No, they don’t, but sometimes.	tsia tsy manao izany izy ireo fa indraindray
Thanks for the pictures.	misaotra taminny sary
Others will be there if you don’t die.	ny hafa izay ho eo raha tsy maty ianao
They are not far away.	tsy lavitra izy ireo
But he had no other choice.	saingy tsy nanana safidy hafa izy
You had to do it.	tsy maintsy nanao izany ianao
He told her he didn't.	nilaza taminy izy fa tsy nanao izany
I don't see any problem here.	tsy hitako izay olana eto
And it can always be for everyone.	ary mety ho anny rehetra foana izany
But it will come.	fa ho avy izany
But, of course, that is not the case.	saingy mazava ho azy tsy izany no izy
However, you can do this with.	na izany aza azonao atao izany aminny
I don't need one anymore.	tsy mila iray intsony aho
Although some of them are not enough.	na dia tsy ampy aza ny sasany aminizy ireo
No problem there.	tsy misy olana any
Reality is all around us.	ny zavamisy dia manodidina antsika
He didn't tell her.	tsy nilaza taminy izy
Not money.	tsy vola
Everything becomes normal.	lasa mahazatra ny zavadrehetra
Nothing to see here.	tsy misy hita eto
So we have a choice.	noho izany dia manana safidy isika
When none of these things are true.	rehefa tsy misy marina ireo zavatra ireo
It all comes down to food.	tonga hatrany aminny sakafo izany
But nothing can be done.	saingy tsy misy azo atao
We can hope.	afaka manantena isika
I wouldn’t have seen it coming.	tsy ho nahita izany ho avy aho
He had a great night.	nanana alina lehibe izy
Once he didn’t see me much anymore.	indray mandeha tsy dia nahita ahy intsony izy
We are even the same, people say.	mitovy mihitsy aza izahay hoy ny olona
But yes, for sure.	fa eny azo antoka
Impossible, but very difficult.	tsy azo atao fa tena sarotra
A lot like them.	be toa azy ireo
It’s not as big as the others, but it’s beautiful.	tsy dia lehibe toy ny hafa izy io fa tsara tarehy
Yes, it’s not too much.	eny tsy dia be loatra izany
Others are new.	ny hafa dia vaovao
They won't even know you're here.	tsy ho fantany akory fa eto ianao
And that’s what’s important.	ary izany no zavadehibe
You are as bad as everyone else.	ratsy toy ny hafa rehetra ianao
Yes, but it is true.	eny fa marina izany
It seems to work but not really.	toa miasa fa tsy tena
There may not be any more.	mety tsy hisy intsony
It seemed too small.	toa kely be ilay izy
He had a beautiful woman, that man.	nanana vehivavy tsara tarehy izy io lehilahy io
I'll get to that.	ho tonga aminizany aho
You go to work.	mandeha miasa ianao
We deserve to be here.	mendrika ny ho eto isika
He is certainly good.	azo antoka fa tsara izy
Everyone is safe.	azo antoka ny rehetra
This and many more.	izany sy ny maro hafa
Sometimes this is not a problem.	tsy olana izany indraindray
Take a good look at them.	jereo tsara izy ireo
This is the most common of them.	izany no matetika indrindra aminizy ireo
There were other big and bad times again.	nisy fotoana lehibe sy ratsy hafa indray
They were often there.	matetika izy roa no teo
We must be free first.	tsy maintsy afaka aloha isika
I had a bad age.	nanana taona ratsy aho
Real life is something completely different.	ny tena fiainana dia zavatra hafa tanteraka
You are with him.	miaraka aminy ianao
It can be a little tricky.	mety ho sarotra kely izany
This is another product.	izany dia vokatra hafa
Timing is important.	zavadehibe ny fotoana
I couldn’t think of anything.	tsy afaka nieritreritra na inona na inona aho
It is also very accurate and fast.	tena marina sy haingana ihany koa izy io
So he knows the house well.	noho izany dia fantany tsara ny trano
The main process consists of two steps.	ny dingana lehibe dia misy dingana roa
So do we.	dia toy izany koa isika
The right and the wrong.	ny mety sy ny mety
As if they were meant for all of us.	toy ny natao ho antsika rehetra izy ireo
There is only this.	misy ihany ity
There was a problem.	nisy olana
We should .	isika dia tokony
I think there’s something else in it.	heveriko fa mbola misy zavatra hafa ao aminy
It is also very special.	tena manokana koa izany
Either way, the worse for them.	na izany na tsy izany ny ratsy kokoa ho azy ireo
In fact, it just came to me.	raha ny marina dia izao vao tonga tamiko izany
It certainly came long ago.	azo antoka fa tonga taloha izany
Bad for you.	ratsy ho anao
They don’t have to come naturally.	tsy tokony ho tonga ho azy izy ireo
The past is the same as the future.	ny lasa dia mitovy aminny ho avy
He was a nice person to be around.	olona mahafinaritra teo aminny manodidina izy
They may not be there either.	mety tsy ho eo koa izy ireo
They always have a home.	manana trano foana izy ireo
It is easy to understand.	mora azo ilay izy
Something has to be done about it.	misy zavatra tsy maintsy atao momba izany
Wrong more often than right.	diso matetika kokoa noho ny marina
He doesn't like to walk.	tsy tia mandeha izy
I just saw him.	vao nahita azy aho
Everyone works hard.	samy miasa mafy ny tsirairay
It already made no sense.	efa tsy nisy dikany izany
And not just a little, but a lot.	ary tsy kely fotsiny fa tena betsaka
This is bad for you.	ratsy aminao izany
But there were other men too.	nisy lehilahy hafa koa anefa
He will do what he wants.	hanao izay tiany izy
It was a really fun idea.	hevitra nahafinaritra tokoa izany
It might be the last time for me.	mety ho fotoana farany ho ahy
I know it like everyone else.	fantatro toy ny olona rehetra izany
In many cases.	aminny fotoana maro
I have to see him.	tsy maintsy mahita azy aho
It needs to be close.	mila akaiky izany
He has been there for a long time.	efa ela izy no tany
He really needed food.	tena nila sakafo izy
I don’t think that’s all.	heveriko fa tsy izany rehetra izany
I had a wonderful story.	nanana tantara mahafinaritra aho
He will still make men.	mbola hanao lehilahy izy
Do this often.	ataovy matetika izany
That is not the only reason.	tsy izay ihany no antony
You know, something unusual.	fantatrao zavatra tsy mahazatra
This is something else.	zavatra hafa ity
But he has.	saingy manana izy
But the worst is yet to come.	saingy mbola ho avy ny ratsy indrindra
Not just people.	tsy olona fotsiny
And he did it the same way.	ary nanao izany taminny fomba mitovy aminizany koa izy
That should be a really good thing.	tokony ho zavatra tena tsara izany
And there is a problem.	ary misy olana
True and false.	marina sy diso
A little is a lot.	kely no betsaka
And not the men.	ary tsy ny lehilahy
What is wrong is right.	ny tsy mety fa mety
The problem is it’s so small.	ny olana dia kely dia kely izany
They stayed there.	nijanona teo izy ireo
There may not be any time soon.	mety tsy hisy fotoana tsy ho ela
It has to make sense.	tsy maintsy misy dikany izany
But war is always bad.	fa ratsy foana ny ady
About people.	momba ny olona
Not much, of course.	tsy dia misy loatra mazava ho azy
He will know it all.	ho fantany izany rehetra izany
There was nothing for him.	tsy nisy na inona na inona ho azy
You can do it all here.	afaka manao izany rehetra izany ianao eto
That only gets two.	izany dia mahazo roa ihany
And everything else.	ary ny zavatra hafa rehetra
It’s all gone.	efa lasa daholo izany
In fact, this is probably the best part of all.	raha ny marina ity angamba no ampahany tsara indrindra aminny rehetra
There is no discussion here.	tsy misy resaka eto
Then nothing else.	dia tsy misy hafa
He told the truth.	nilaza ny marina izy
He’s better.	tsara kokoa izy
Those who can't.	ireo izay tsy afaka
There was news.	nisy vaovao
I have the best story ever.	manana tantara tsara indrindra aho
It’s not that hard.	tsy sarotra be izany
He will not do it for himself.	tsy hanao izany ho anny tenany izy
It’s even clearer to me now.	mbola mazava kokoa amiko izany ankehitriny
To me, they are one and the same.	amiko dia iray ihany izy ireo
Therefore, there is no such work.	noho izany tsy misy asa toy izany
He was just thinking.	nieritreritra fotsiny izy
In fact, this is not true at all.	raha ny marina dia tsy marina mihitsy izany
He is the real problem.	izy no tena olana
I needed to do the same.	nila nanao izany koa aho
There are still other days.	mbola misy andro hafa foana
No, never.	tsy nisy tsy hisy mihitsy
No, no, no.	aza aza aza
The question itself is generally misguided.	ny fanontaniana mihitsy dia diso lalana aminny ankapobeny
No reason, really.	tsy misy antony tena
It’s not really easy.	tsy mora tokoa izany
It became too much for him.	lasa be loatra aminy izany
Despite these positive results.	na dia eo aza ireo vokatra tsara ireo
Not unless you have.	tsy raha tsy manana
First of all, it doesn’t work.	voalohany indrindra tsy mandeha izany
To you it seems so.	ho anao izany dia toa izany
This trip was very important to me.	tena zavadehibe tamiko io dia io
That's great thank you.	tena tsara izany misaotra anao
He doesn't like me.	tsy tiany aho
But it’s not very good.	saingy tsy dia tsara izany
So it all went well for me.	noho izany dia nandeha tsara ho ahy izany rehetra izany
I always wanted to do that.	te hanao izany foana aho
A man.	lehilahy iray
These activities are very important to him.	tena zavadehibe aminy ireo hetsika ireo
Nearby, at no.	eo akaiky eo aminny no
So, a lot.	noho izany betsaka
Here is something else.	ity misy zavatra hafa
However, it really doesn’t make sense.	na izany aza tena tsy misy dikany
I'm not wrong.	tsy misy diso aho
Many people have.	maro ny olona manana
We do more than we have.	manao mihoatra noho izay misy azy isika
The interior is even more than that.	mbola mihoatra noho izany aza ny ao anatiny
And so do people.	ary toy izany koa ny olona
We are very different.	tena samy hafa isika
This is better than before.	tsara noho ny teo aloha izany
It was a big day for me.	tena andro lehibe ho ahy io
He’s good, but a problem.	tsara izy fa olana
But he had.	saingy nanana
It doesn’t look good.	tsy mijery tsara izany
He said something.	nilaza zavatra izy
Not too high.	tsy ambony loatra
It was easy to do.	mora ny nanao izany
He didn't say anything to me.	tsy nilaza na inona na inona tamiko izy
It just goes by itself.	dia mandeha ho azy fotsiny
Some are closer to you than others.	ny sasany dia akaiky anao kokoa noho ny hafa
That should be good enough.	tokony ho ampy tsara izany
In fact, it’s not the only other option.	raha ny marina tsy izany ihany no safidy hafa
The big day has come.	tonga ny andro lehibe
Just an idea.	hevitra ihany
I have been there many times.	efa tany matetika aho
Some, but not many.	ny sasany fa tsy betsaka
Going a long way.	mandeha lavitra
But maybe not now.	fa angamba tsy izao
It’s well worth it and a lot of fun.	tena mendrika izany ary mahafinaritra be
Ours is not the best of all possible worlds.	ny antsika dia tsy ny tsara indrindra aminny tontolo rehetra azo atao
They seem difficult.	toa sarotra izy ireo
Yes, life is not so bad.	eny tsy dia ratsy loatra ny fiainana
There are many other worthy people.	misy olona maro hafa mendrika
See above.	jereo eo ambony
Not now and never before.	tsy izao ary tsy mbola nisy
That’s hard news.	izay vaovao sarotra
This is not a small problem.	tsy olana kely izany
We are always right.	tena marina foana izahay
It's a person.	olona iray izay
Such people come of age.	ny olona toy izany dia tonga taona lehibe
Not one of those.	tsy ny iray aminireo
it is also the latter.	io koa no farany
He said nothing about it.	tsy nilaza na inona na inona momba izany izy
The farthest from it.	ny lavitra indrindra aminizany
It is not difficult to do so now.	tsy sarotra ny manao izany ankehitriny
He would have done the same.	ho nanao toy izany koa izy
I’m a little happy with that.	somary faly aho aminizany
I can do anything.	afaka manao ny zavadrehetra aho
But we need more.	mila bebe kokoa anefa isika
I have been very happy with the results.	efa tena faly aho taminny vokatra
There will be plenty of time for other things.	hisy fotoana be ho anny zavatra hafa
Some days it’s two of them.	ny andro sasany dia roa aminizy ireo
All of this is normal.	izany rehetra izany dia mahazatra
I think you have to have a home for that.	heveriko fa tsy maintsy manana trano ianao aminizany
I really don’t deserve something fun like this.	tena tsy mendrika ny zavatra mahafinaritra toa izao aho
But this idea is wrong.	diso anefa io hevitra io
He is not a worthy man.	tsy lehilahy mendrika izany
That man didn’t.	tsy nanao izany lehilahy izany
He just looks crazy.	toa adala fotsiny izy
It doesn't suit me.	tsy mety amiko
But this is not the only place.	tsy io ihany anefa no toerana
There is news.	misy vaovao
But he himself did not think such a thing.	fa ny tenany tsy nieritreritra zavatra toy izany
I know it’s easy for him to do that.	fantatro fa mora aminy ny manao izany
It didn’t seem to be possible for them.	toa tsy azo natao ho azy ireo izany
First, it starts with the wrong idea.	voalohany manomboka aminny hevitra diso izany
It didn’t make any sense at all.	tsy nisy dikany mihitsy izany
Still going, thanks.	mbola nandeha ihany misaotra
It’s always great to be here from you.	tena mahafinaritra foana ny eto avy aminao
He never left.	tsy lasa mihitsy izy
Maybe even more.	mbola betsaka kokoa angamba
Which is a good thing of course.	izay zavatra tsara mazava ho azy
A great day.	andro lehibe iray
I'm still working.	mbola miasa aho
It’s been a long time like that here.	efa ela ny fotoana toy izany eto
Others maybe.	ny hafa angamba
Hope you are doing the right thing.	manantena fa manao ny tsara ianao
They always did the right thing.	nanao ny tsara foana izy ireo
He didn't even seem to notice.	toa tsy nijery izany akory izy
I don't know.	tsy fantany aho
Mine stayed as well.	ny ahy dia nijanona ihany koa
There isn’t even one.	tsy misy na dia iray aza
You have to start small.	tsy maintsy manomboka aminny kely ianao
Some do, yes.	misy manao izany eny
If he dies.	raha maty izy
There are still a lot of facts.	mbola betsaka ny zavamisy
And even if he did, it didn’t make sense.	ary na dia nanao izany aza izy dia tsy misy dikany izany
It’s just high.	ambony fotsiny izany
You can be with me.	afaka miaraka amiko ianao
It will make the news.	hanao ny vaovao izany
Nothing seemed too difficult.	tsy nisy toa sarotra loatra izany
But the reality is completely wrong.	diso tanteraka anefa ny zavamisy
You probably know each part.	mety ho fantatrao ny ampahany tsirairay
They get it all, at once.	mahazo izany rehetra izany izy ireo indray mandeha
But all of that is far from over.	mbola lavitra anefa izany rehetra izany
Nothing if only here.	tsy misy raha eto ihany
And it’s still different.	ary mbola hafa ihany izany
However, nothing major.	na izany aza tsy misy zavatra lehibe
They are actually very good.	tena tsara izy ireo raha ny marina
Decent work.	asa mendrika
It’s a game person.	olona manao lalao io
I didn't do anything.	tsy nanao na inona na inona aho
Without him, we would have nothing.	raha tsy nisy azy dia tsy nanana na inona na inona isika
I'm too hard.	mafy loatra aho
But they were very good to me.	tena tsara tamiko anefa izy ireo
Yes, two of them.	eny roa aminizy ireo
It also works well.	miasa tsara koa izany
He wasn't too happy.	tsy dia faly loatra izy
That’s too much for the money.	be loatra ho anny vola izany
He’s kind of good.	karazana tsara izy
If it makes sense.	raha misy dikany izany
Everything belongs to someone else.	anny zavatra hafa ny zavatra rehetra
But it starts with you.	fa manomboka eto aminao izany
But that is not really true.	saingy tsy tena marina izany
Just one word.	teny iray ihany
Or all three together.	na izy telo miaraka
What could have happened.	inona no mety ho nisy
You usually do it alone.	ianao irery no manao izany aminny ankapobeny
We lost a lot of jobs.	very asa be dia be izahay
They have never seen me do that before.	mbola tsy nahita ahy nanao toy izany izy ireo
That's enough.	efa ampy izay
There weren't too many people there.	tsy dia betsaka loatra ny olona teo
Like everything else it starts with a story.	toy ny zavatra hafa rehetra dia manomboka aminny tantara
I don't need it.	tsy mila izany aho
You do a better job of it.	manao asa tsara kokoa aminizany ianao
That can mean a lot.	mety hisy dikany maro izany
I watch them die, but it’s something else.	mijery azy ireo maty aho fa zavatra hafa izany
I don't need anything while we're here.	tsy mila na inona na inona aho raha mbola eto isika
Everyone is supreme, whether they know it or not.	ny tsirairay no ambony indrindra na fantany na tsia
I have money.	manana vola aho
Which is not for everyone.	izay tsy natao ho anny rehetra
Not with him.	tsy miaraka aminy
There must be something missing from me, for sure.	tsy maintsy misy zavatra tsy ampy ahy azo antoka
The night is still small.	mbola kely ny alina
But he is never alone.	tsy irery mihitsy anefa
Of course they are not.	mazava ho azy fa tsy izy ireo
This one is tough.	sarotra ity iray ity
If they had it, everything would be different.	raha nanana izany izy ireo dia ho hafa ny zavadrehetra
But he was almost found.	saika hita ihany anefa izy
It's been too long.	efa ela loatra ilay izy
Basically, everything is different.	aminny ankapobeny samy hafa ny zavadrehetra
However, there is something common that is not clear to me.	na izany aza misy zavatra mahazatra tsy mazava amiko
I'm safer than you are.	azo antoka kokoa noho ianao aho
We will do the same.	hanao izany koa isika
I hope you might like this one.	manantena aho fa mety ho tianao ity iray ity
There was something.	nisy zavatra izany
There are still some.	mbola misy ny sasany
Don’t get me wrong.	aza diso hevitra
The process began.	nanomboka ny dingana
Too many problems, you know.	be loatra ny olana fantatrao
He looked there.	nijery tao izy
But it takes time and money.	mila fotoana sy vola anefa izany
I have all the parts.	manana ny ampahany rehetra aho
In fact, many more are to come.	raha ny marina maro kokoa no ho avy
It would certainly be a bad thing.	azo antoka fa ho zavatra ratsy izany
I never thought to do that.	tsy nieritreritra ny hanao izany mihitsy aho
If you do, it will be very difficult.	raha manao izany ianao dia ho sarotra be izany
It’s always fun.	mahafinaritra hatrany hatrany
You are right, but it is not.	marina ny anao fa tsy izany
A busy world going far, very fast.	tontolo be atao mandeha lavitra haingana be
And then it works.	ary miasa avy eo
Not too early either.	tsy aloha loatra koa
And he is still there.	ary mbola eo izy
He got a guarantee.	nahazo antoka iray izy
And about that, nothing can be done.	ary momba izany tsy misy azo atao
That’s the only thing that matters.	izay ihany no zavadehibe
It does nothing in life.	tsy manao na inona na inona aminny fiainana izany
One of those stories, you know.	iray aminireo tantara ireo fantatrao
The situation could be even worse.	mety ho ratsy kokoa ny zavamisy
Well, anyway.	eny ary na izany na tsy izany
I'm crazy.	be atao adala aho
He didn’t actually do that.	tsy nanao izany izy raha ny marina
But it will not be easy.	saingy tsy ho tsotra izany
Both are wrong.	samy tsy mety ny marina
If only he had seen me now.	raha mba nahita ahy izy izao
It is not difficult at all.	tsy sarotra mihitsy izany
You don't like me.	tsy tianao aho
They both can't work.	tsy afaka miasa izy roa
Not three days.	tsy telo andro
Of course it has to be.	mazava ho azy fa tsy maintsy ho izany
There are a lot of dead spots.	be dia be ny toerana maty
This is very difficult for me.	tena sarotra amiko izany
This story is real.	tena misy ity tantara ity
If you do nothing, you die.	raha tsy manao na inona na inona ianao dia maty
They also seemed happy to see me.	toa faly koa izy ireo nahita ahy
I said, you said.	hoy aho hoy ianao
What kind of house ?.	karazana trano inona
In other news.	aminny vaovao hafa
Women often work in the world with other women.	ny vehivavy dia matetika miasa aminny tontolo miaraka aminny vehivavy hafa
It was a new life for me.	fiainana vaovao ho ahy izany
Maybe too much.	be loatra angamba
You don’t look at him.	tsy mijery azy ianao
It may not be at all.	mety tsy ho izy mihitsy
This man lost everything.	very ny zavadrehetra io lehilahy io
First, it is always very difficult.	voalohany dia sarotra be foana
But nothing mattered.	tsy nisy zavadehibe anefa
But many did.	maro anefa no nanao izany
We both have stories.	samy manana tantara isika
I think it’s been a long time coming.	heveriko fa efa ela be izany
Make sure we are alone.	ataovy azo antoka fa irery isika
He went well.	nandeha tsara izy
Real house.	trano tena izy
Lots of ideas.	betsaka ny hevitra
Someone who really loves him.	olona tena tia azy
It all simply works.	miasa tsotra izao izany rehetra izany
This is a wonderful day.	andro mahafinaritra izao
Not unless they work.	tsy raha tsy miasa izy ireo
They began to think.	nanomboka nieritreritra izy ireo
There is no real guarantee of this.	tsy misy antoka marina izany
He’s just something else.	zavatra hafa fotsiny izy
To him, time is of the essence.	aminy dia tsy misy dikany ny fotoana
People came.	tonga ny olona
And these actions are different for each person.	ary ireo hetsika ireo dia tsy mitovy aminny olona tsirairay
They are essential for that.	tena ilaina aminizany izy ireo
I know it doesn’t make much sense now.	fantatro fa tsy dia misy dikany loatra izany ankehitriny
I have an idea.	manana ny hevitra aho
That is all that is needed sometimes.	izay ihany no ilaina indraindray
Whatever you get, it will be worth it.	na inona na inona azonao dia ho mendrika izany
There is one last step.	misy dingana iray farany
I think he had no choice.	heveriko fa tsy nanana safidy izy
There is good and bad.	misy ny tsara sy ny ratsy
It’s just work.	asa fotsiny io
No, that is not true.	tsia tsy marina izany
It works well for me.	miasa tsara amiko izy io
I have no place.	tsy manana toerana aho
And do it alone.	ary ataovy irery
So that’s important.	noho izany dia zavadehibe izany
This is one possible way.	izany no lalana iray azo atao
This process is different for everyone.	tsy mitovy aminny tsirairay izany dingana izany
And, more than that.	ary mihoatra noho izany
And they are all very important.	ary tena zavadehibe izy rehetra
You don’t need much.	tsy mila betsaka ianao
Especially when the story gets this big.	indrindra rehefa lasa lehibe toy izao ny tantara
I know you will too.	fantatro fa hanao izany koa ianao
He said not you.	nilaza izy fa tsy ianao
There are many things about him.	betsaka ny zavatra momba azy
But he is mine too.	fa ahy koa izy
Maybe the latter.	angamba ity farany
Some people do little of both.	ny olona sasany dia manao kely aminizy roa
And they did.	ary nanao izany izy ireo
He said he needed something more.	nilaza izy fa mila zavatra bebe kokoa
The good news remained there.	nijanona teo ny vaovao tsara
Yes and if all that option.	eny ary raha ny safidy rehetra fa
See if anything is missing.	jereo raha misy zavatra very
The little ones go a long way.	ny kely mandeha lavitra
But he has never done so.	tsy mbola nanao toy izany mihitsy anefa izy
But that is certainly not possible.	azo antoka anefa fa tsy azo natao izany
They are not perfect.	tsy tanteraka izy ireo
We all did it.	samy nanao izany izahay rehetra
He doesn’t seem too bad, in this way.	toa tsy dia ratsy loatra izy aminity fomba ity
Maybe they are the same.	angamba izy ireo dia iray ihany
We are all immortal.	isika rehetra dia tsy mety maty
There may be other activities.	mety hisy hetsika hafa
But there was something else, very different.	nisy zavatra hafa anefa taminizany tena hafa mihitsy
I can get good results.	afaka mahazo vokatra tsara aho
I didn’t get them.	tsy nahazo azy ireo aho
And sometimes they are far away.	ary indraindray izy ireo dia lavitra
This picture was important to me.	zavadehibe tamiko io sary io
In fact, you deserve the best.	raha ny marina mendrika ny tsara indrindra ianao
I am not alone either.	tsy irery koa aho
He said the same thing about himself.	nilaza toy izany koa izy momba ny tenany
We are not with that.	tsy miaraka aminizany isika
